Distance,RPM,In / Out,Location
213.6,4600,Out,Near Back Rim
218.4,4550,In,Center
218.4,4550,In,Center Bounced Out
218.4,4550,In,Center
218.4,4550,In,Center
218.4,4650,In,Center
218.4,4650,In,Center
218.4,4650,In,Center
218.4,4650,Out,Long
225,4350,In,Center
225,4350,In,Center Bounced Out
225,4350,In,Near Front Rim
225,4400,In,Center
225,4400,In,Near Front Rim
225,4400,In,Center Bounced Out
225,4400,Out,Short
225,4400,Out,Hit Front Rim
225,4450,In,Center
225,4450,In,Center
225,4500,In,Center
225,4500,In,Hit Back Rim
225,4550,In,Center Bounced Out
225,4550,In,Hit Back Rim
225,4550,Out,Short
225,4600,in,Center Bounced Out
225,4600,In,Center
225,4600,Out,Short
225,4650,In,Center
225,4650,In,Center
225,4650,In,Center
225,4700,In,Center Bounced Out
225,4700,In,Center Bounced Out
225,4700,In,Center
225,4700,In,Center
229,4300,Out,Short
229,4350,Out,Short
229,4400,In,Center
229,4400,In,Center
229,4400,Out,Hit Front Rim
229,4400,Out,Short
229,4400,Out,Hit Front Rim
229,4467,Out,Hit Front Rim
229,4467,Out,Short
229,4500,Out,Short
229,4600,In,Center
229,4600,In,Center
229,4600,Out,Short
229,4700,In,Center
229,4700,In,Center
229,4700,Out,Hit Front Rim
229,4800,In,Center
229,4800,In,Center
229,4800,Out,Near Back Rim
229,4800,Out,Near Back Rim
229,4900,Out,Near Back Rim
229,5000,Out,Long
229,5000,Out,Near Back Rim
229,5200,In,Center
