Velocity (RPM) - Plot 0	Voltage - Plot 0
1526.95	2.97791
1526.95	2.97791
1524.32	2.97791
1524.32	2.97791
1523.14	2.97791
1523.14	2.97791
1525.2	2.97791
1525.2	2.97791
1527.54	2.97791
1527.54	2.97791
1526.07	2.97791
1526.07	2.97791
1526.66	2.97791
1526.66	2.97791
1524.61	2.97791
1524.61	2.97791
1524.61	2.97791
1524.61	2.97791
1524.61	2.97791
1511.43	2.97791
1511.43	2.97791
1461.62	3.01544
1461.62	3.01544
1393.36	2.66207
1393.36	2.66207
1353.52	2.66207
1353.52	2.66207
1352.34	2.66207
1352.34	2.66207
1351.46	2.63998
1351.46	2.63998
1351.46	2.65166
1351.46	2.65166
1350.88	2.65166
1350.88	2.65166
1352.34	2.65166
1352.34	2.65166
1353.22	2.64057
1353.22	2.64057
1352.64	2.64057
1352.64	2.64057
1350.59	2.64057
1350.59	2.64057
1349.41	2.64057
1349.41	2.64057
1350	2.64057
1350	2.64057
1352.93	2.64057
1352.93	2.64057
1351.17	2.64057
1351.17	2.64057
1350.29	2.64057
1350.29	2.64057
1350.29	2.65166
1336.52	2.65166
1336.52	2.30122
1291.99	2.30122
1291.99	2.30122
1235.74	2.30122
1235.74	2.30122
1197.07	2.30122
1197.07	2.26271
1196.78	2.26271
1196.78	2.32014
1198.24	2.32014
1198.24	2.32014
1197.95	2.32014
1197.95	2.32014
1197.95	2.32014
1197.95	2.32014
1197.95	2.32014
1198.24	2.30865
1198.24	2.30865
1197.95	2.30865
1197.95	2.30865
1197.07	2.30865
1197.07	2.30865
1199.12	2.30865
1199.12	2.30865
1181.84	1.92962
1181.84	1.92962
1129.98	1.92962
1129.98	1.92962
1063.18	1.92962
1063.18	1.92962
1018.36	1.93783
1018.36	1.93783
1018.65	1.98397
1018.65	1.98397
1015.72	1.98397
1015.72	1.98397
1014.26	1.98397
1014.26	1.98397
1014.84	1.97556
1014.84	1.97556
1013.09	1.97556
1013.09	1.97556
1014.26	1.97556
1014.26	1.97556
1012.79	1.97556
1012.79	1.97556
1012.5	1.98397
1012.5	1.98397
1014.84	1.98397
1014.84	1.98397
1012.5	1.98397
1012.5	1.98397
1014.55	1.98397
1014.55	1.98397
1015.72	1.98397
1015.72	1.98397
1013.38	1.98397
1013.38	1.98397
1012.21	1.98397
1012.21	1.98397
1013.38	1.98397
1013.38	1.98397
1014.26	1.97556
1014.26	1.97556
1016.6	1.97556
1016.6	1.97556
1013.96	1.97556
1013.96	1.97556
1010.74	1.97556
1010.74	1.97556
1011.04	1.97556
1011.04	1.97556
1010.74	1.97556
1010.74	1.97556
1013.96	1.97556
1013.96	1.97556
1012.79	1.97556
1012.79	1.97556
1010.16	1.97556
1010.16	1.97556
1010.45	1.97556
1010.45	1.97556
1010.45	1.97556
1009.57	1.97556
1009.57	1.97556
1009.57	1.97556
1001.66	2.03441
1001.66	2.03441
958.301	1.65591
958.301	1.65591
891.211	1.65591
848.145	1.65591
848.145	1.65591
848.145	1.65591
828.516	1.6217
828.516	1.6217
822.363	1.64487
822.363	1.64487
819.434	1.64487
819.434	1.64487
812.695	1.64487
812.695	1.64487
812.402	1.64487
812.402	1.64487
812.402	1.64487
812.402	1.64487
809.766	1.64487
809.766	1.64487
810.937	1.64487
810.937	1.64487
807.129	1.64487
807.129	1.64487
806.836	1.64487
806.836	1.64487
806.543	1.64487
806.543	1.64487
803.906	1.64487
803.906	1.64487
808.008	1.64487
808.008	1.64487
808.008	1.64487
804.785	1.64487
804.785	1.64487
805.957	1.64487
805.957	1.64487
804.199	1.64487
804.199	1.64487
806.836	1.30894
806.836	1.30894
806.836	1.30894
788.965	1.30894
788.965	1.30894
699.023	1.30894
699.023	1.30894
662.402	1.31999
662.402	1.31999
647.461	1.30831
647.461	1.30831
635.449	1.30831
635.449	1.30831
624.316	1.30831
624.316	1.30831
607.91	1.30831
607.91	1.30831
603.809	1.31999
603.809	1.31999
601.172	1.31999
601.172	1.31999
599.707	1.31999
599.707	1.31999
599.707	1.31999
599.707	1.31999
599.121	1.31999
599.121	1.31999
598.828	1.31999
598.828	1.31999
598.535	1.31999
598.535	1.31999
600.293	1.31999
600.293	1.31999
599.707	1.31999
599.707	1.31999
598.535	1.31999
598.535	1.31999
597.363	1.31999
597.363	1.31999
597.949	1.31999
597.949	1.31999
599.707	1.31999
599.707	1.31999
590.625	1.31999
590.625	1.31999
561.035	1.31999
561.035	1.31999
513.574	1.35313
513.574	0.981916
475.781	0.981916
475.781	0.981916
454.687	0.981916
454.687	0.981916
418.945	0.981916
418.945	0.981916
415.723	0.981916
415.723	0.981916
410.449	0.981916
410.449	0.981916
407.227	0.981916
407.227	0.981916
409.57	0.981916
409.57	0.981916
409.863	0.981916
409.863	0.981916
407.52	0.981916
407.52	0.981916
408.691	0.981916
408.691	0.981916
409.863	0.981916
409.863	0.981916
409.863	0.981916
409.863	0.981916
409.277	0.981916
409.277	0.981916
408.105	0.981916
408.105	0.981916
407.812	0.981916
407.812	0.981916
407.52	0.981916
407.52	0.981916
407.227	0.981916
407.227	0.981916
397.559	0.981916
397.559	0.981916
312.891	0.981916
312.891	0.981916
273.926	0.985924
273.926	0.985924
249.902	0.649267
249.902	0.649267
242.285	0.649267
242.285	0.649267
238.77	0.649267
238.77	0.649267
233.203	0.649267
233.203	0.649267
233.789	0.649267
233.789	0.649267
237.012	0.649267
237.012	0.649267
239.062	0.649267
239.062	0.649267
234.961	0.649267
234.961	0.649267
232.324	0.649267
232.324	0.649267
234.082	0.649267
234.082	0.649267
235.254	0.649267
235.254	0.649267
220.312	0.649267
220.312	0.649267
183.691	0.31261
183.691	0.31261
97.5586	0.31261
97.5586	0.31261
78.8086	0.31261
78.8086	0.31261
73.5352	0.31261
73.5352	0.31261
71.7773	0.31261
71.7773	0.31261
71.1914	0.31261
71.1914	0.31261
71.7773	0.31261
71.7773	0.31261
69.7266	0.31261
69.7266	0.31261
70.3125	0.31261
70.3125	0.31261
71.4844	0.31261
71.4844	0.31261
70.6055	0.31261
70.6055	0.31261
70.0195	0.31261
70.0195	0.31261
68.2617	0.31261
68.2617	0.31261
66.7969	0.31261
66.7969	0.31261
67.0898	0.31261
67.0898	0.31261
68.2617	0.31261
68.2617	0.31261
69.4336	0.31261
69.4336	0.31261
70.0195	0.31261
70.0195	0.31261
70.6055	0.31261
70.6055	0.31261
72.0703	0.31261
72.0703	0.31261
73.8281	0.31261
73.8281	0.31261
70.8984	0.31261
70.8984	0.31261
71.4844	0.31261
71.4844	0.31261
72.3633	0.31261
72.3633	0.31261
71.7773	0.31261
71.7773	0.31261
70.0195	0.31261
70.0195	0.31261
68.2617	0.31261
68.2617	0.31261
67.6758	0.31261
67.6758	0.31261
69.1406	0.31261
69.1406	0.31261
69.7266	0.31261
69.7266	0.31261
68.2617	0.31261
68.2617	0.31261
68.2617	0.31261
68.2617	0.31261
69.4336	0.31261
69.4336	0.31261
71.1914	0.31261
71.1914	0.31261
72.9492	0.31261
72.9492	0.31261
70.3125	0.31261
70.3125	0.31261
71.7773	0.31261
71.7773	0.31261
72.9492	0.31261
72.9492	0.31261
72.9492	0.31261
72.9492	0.31261
71.7773	0.31261
71.7773	0.31261
70.8984	0.31261
70.8984	0.31261
67.9687	0.31261
67.9687	0.31261
69.1406	0.31261
69.1406	0.31261
104.004	0.31261
104.004	0.31261
174.902	0.649267
174.902	0.649267
230.273	0.649267
230.273	0.649267
235.254	0.649267
235.254	0.649267
235.254	0.649267
236.719	0.649267
236.719	0.649267
235.84	0.649267
235.84	0.649267
232.617	0.649267
232.617	0.649267
231.738	0.649267
231.738	0.649267
230.566	0.649267
230.566	0.649267
231.445	0.649267
231.445	0.649267
235.84	0.649267
235.84	0.649267
233.496	0.649267
233.496	0.649267
232.324	0.649267
232.324	0.637243
230.566	0.637243
230.566	0.637243
233.789	0.637243
233.789	0.637243
241.699	0.637243
241.699	0.632063
291.504	0.632063
291.504	0.977908
362.109	0.977908
362.109	0.977908
395.801	0.977908
395.801	0.977908
405.762	0.977908
405.762	0.981916
406.934	0.981916
406.934	0.981916
405.469	0.981916
405.469	0.981916
408.105	0.981916
408.105	0.981916
410.742	0.981916
410.742	0.985924
408.398	0.985924
408.398	0.985924
436.816	0.985924
436.816	0.985924
510.059	0.985924
510.059	0.985924
573.047	0.985924
573.047	0.957869
589.746	0.957869
589.746	1.30831
591.797	1.30831
591.797	1.30831
594.141	1.30831
594.141	1.30831
595.312	1.30831
595.312	1.30831
594.727	1.30831
594.727	1.31999
593.848	1.31999
593.848	1.31999
593.848	1.31999
593.848	1.31999
627.832	1.31999
627.832	1.29238
704.883	1.29238
704.883	1.62405
757.031	1.62405
757.031	1.62405
774.023	1.62405
774.023	1.62405
781.934	1.62405
781.934	1.64487
783.984	1.64487
783.984	1.64487
786.328	1.64487
786.328	1.64487
787.207	1.64487
787.207	1.64487
788.086	1.64487
788.086	1.65181
789.844	1.65181
789.844	1.65181
790.43	1.65181
790.43	1.65181
791.016	1.65181
791.016	1.65181
793.359	1.65181
